post_id,entity,sector_etf,stance,mode,t0_utc,anchor_utc,price_before,raw_30m,abn_30m,raw_1h,abn_1h,raw_2h,abn_2h,raw_3h,abn_3h
113781393195053401,TSLA,XLY,no_clear_stance,shifted_to_next_open,2025-01-06T12:24:38.004000+00:00,2025-01-06T14:30:00+00:00,410.77,0.0,0.0,0.01356,0.00431,0.0008,-0.00903,-0.00377,-0.01117
113781828670659948,AMZN,XLY,negative,shifted_to_next_open,2025-01-06T14:15:22.832000+00:00,2025-01-06T14:30:00+00:00,224.2,0.0,0.0,0.01704,0.00778,0.01882,0.00899,0.01493,0.00754
113903630433895227,MCD,XLY,positive,shifted_to_next_open,2025-01-28T02:31:10.243000+00:00,2025-01-28T14:30:00+00:00,293.14,0.0,0.0,0.0001,-0.0018,-0.00392,-0.00206,-0.00924,-0.01033
113909188940119917,TSLA,XLY,no_clear_stance,shifted_to_next_open,2025-01-29T02:04:46.322000+00:00,2025-01-29T14:30:00+00:00,398.1,-0.04918,-0.0513,-0.01522,-0.01557,-0.02094,-0.02085,-0.01971,-0.02104
113963121926787410,AMZN,XLY,negative,in_session,2025-02-07T14:40:38.392000+00:00,2025-02-07T14:40:38.392000+00:00,238.74,-0.01523,-0.00843,-0.03799,-0.0289,-0.04035,-0.02648,-0.04068,-0.02607
114020008419550279,AMZN,XLY,no_clear_stance,shifted_to_next_open,2025-02-17T15:47:37.379000+00:00,2025-02-18T14:30:00+00:00,228.68,-0.00854,-0.00436,-0.01526,-0.00997,-0.01627,-0.01116,-0.01839,-0.01235
114027770237892482,TSLA,XLY,no_clear_stance,shifted_to_next_open,2025-02-19T00:41:33.328000+00:00,2025-02-19T14:30:00+00:00,354.05,-0.07615,-0.07489,0.02618,0.02976,0.01671,0.02197,0.02982,0.03331
114033427089061668,TSLA,XLY,no_clear_stance,shifted_to_next_open,2025-02-20T00:40:10.029000+00:00,2025-02-20T14:30:00+00:00,360.6,-0.03669,-0.02446,-0.02345,-0.00988,-0.01776,-0.00463,-0.01858,-0.00508
114058814859681967,AAPL,XLK,positive,shifted_to_next_open,2025-02-24T12:16:00+00:00,2025-02-24T14:30:00+00:00,245.59,0.0,0.0,0.0092,0.02002,0.00619,0.011,0.00898,0.01158
114059004456970017,AAPL,XLK,positive,shifted_to_next_open,2025-02-24T13:04:49.687000+00:00,2025-02-24T14:30:00+00:00,245.59,0.0,0.0,0.0092,0.02002,0.00619,0.011,0.00898,0.01158
114059888811732826,TSLA,XLY,no_clear_stance,in_session,2025-02-24T16:49:43.878000+00:00,2025-02-24T16:49:43.878000+00:00,333.84,0.01146,0.01101,0.00956,0.0085,0.01366,0.01128,-0.00129,-0.00136
114069904344598839,TSLA,XLY,positive,shifted_to_next_open,2025-02-26T11:16:48.776000+00:00,2025-02-26T14:30:00+00:00,302.49,-0.09666,-0.09346,-0.02393,-0.02999,-0.01226,-0.02247,-0.00598,-0.01615
114070315739588346,AAPL,XLK,no_clear_stance,shifted_to_next_open,2025-02-26T13:01:26.166000+00:00,2025-02-26T14:30:00+00:00,247.05,-0.01764,-0.016,-0.01445,-0.02741,-0.02121,-0.03911,-0.01587,-0.03495
114071853044146528,TSLA,XLY,positive,in_session,2025-02-26T19:32:23.576000+00:00,2025-02-26T19:32:23.576000+00:00,290.25,-0.0034,-0.00248,-0.00424,-0.0031,0.00221,0.00227,0.00221,0.00227
114140437287253298,AMZN,XLY,no_clear_stance,shifted_to_next_open,2025-03-10T22:14:16.068000+00:00,2025-03-11T13:30:00+00:00,194.66,-0.12255,-0.0447,0.00419,0.01674,0.01259,0.02166,0.0092,0.02003
114141854575248527,TSLA,XLY,positive,shifted_to_next_open,2025-03-11T04:14:42.212000+00:00,2025-03-11T13:30:00+00:00,222.08,-0.1994,-0.12155,0.00257,0.01512,0.02846,0.03753,0.02772,0.03855
114145611018414576,TSLA,XLY,positive,shifted_to_next_open,2025-03-11T20:10:00.942000+00:00,2025-03-12T13:30:00+00:00,232.68,0.06996,0.06449,0.06108,0.06159,0.05217,0.05981,0.07142,0.07015
114145621000876629,TSLA,XLY,positive,shifted_to_next_open,2025-03-11T20:12:33.261000+00:00,2025-03-12T13:30:00+00:00,232.68,0.06996,0.06449,0.06108,0.06159,0.05217,0.05981,0.07142,0.07015
114145974393951612,BA,ITA,no_clear_stance,shifted_to_next_open,2025-03-11T21:42:25.610000+00:00,2025-03-12T13:30:00+00:00,154.01,0.00883,0.00883,0.00766,0.00604,0.00698,0.00658,0.01448,0.00794
114151257383811463,GS,XLF,no_clear_stance,shifted_to_next_open,2025-03-12T20:05:57.639000+00:00,2025-03-13T13:30:00+00:00,538.96,-0.01107,-0.01191,-0.00766,-0.01028,-0.02034,-0.01824,-0.02889,-0.02229
114151328220491045,AAPL,XLK,no_clear_stance,shifted_to_next_open,2025-03-12T20:23:00+00:00,2025-03-13T13:30:00+00:00,215.64,-0.00767,0.00446,-0.00631,-0.00047,-0.00742,0.0047,-0.01716,-0.00216
114176199348948643,TSLA,XLY,positive,shifted_to_next_open,2025-03-17T05:49:00+00:00,2025-03-17T13:30:00+00:00,249.98,-0.02446,-0.01998,-0.05057,-0.04712,-0.05753,-0.05356,-0.06645,-0.06049
114179081339591399,TSLA,XLY,no_clear_stance,in_session,2025-03-17T18:01:00+00:00,2025-03-17T18:01:00+00:00,236.35,0.00667,0.00286,0.01244,0.00506,0.00463,-0.00178,0.00611,0.00296
114186559522815802,TSLA,XLY,positive,shifted_to_next_open,2025-03-19T01:43:45.577000+00:00,2025-03-19T13:30:00+00:00,225.48,-0.0381,-0.02285,0.02596,0.01485,0.04406,0.03135,0.04302,0.0299
