post_id,timestamp_utc,platform,sector,asset,is_etf,is_spy,relevance,trump_exposed,weekday,hour,after_hours,rel_spy5,pre_r1,pre_r3,pre_r5,pre_r10,pre_r20,pre_vol,topic_XLK,topic_XLE,topic_XLF,topic_XLI,topic_XLV,topic_XLP,topic_XLY,topic_XLB,topic_SMH,topic_ITA,text,raw_1,spy_1,abn_1,lab_1,raw_3,spy_3,abn_3,lab_3,raw_5,spy_5,abn_5,lab_5
823495059010109440,2017-01-23T11:38:16.523000+00:00,twitter,XLI,XLI,1,0,1.0,0,0,11,1,0.006377,0.000157,0.011318,0.007304,0.010514,0.002371,0.005101,0,0,0,1,0,0,0,0,0,0,Busy week planned with a heavy focus on jobs and national security. Top executives coming in at 9:00 A.M. to talk manufacturing in America.,-0.004419,-0.002602,-0.001817,NEUTRAL,0.016095,0.012481,0.003614,NEUTRAL,0.017673,0.009835,0.007838,UP
823495059010109440,2017-01-23T11:38:16.523000+00:00,twitter,XLI,BA,0,0,1.0,0,0,11,1,0.006907,0.003333,0.011797,0.007834,0.005167,0.020078,0.005087,0,0,0,1,0,0,0,0,0,0,Busy week planned with a heavy focus on jobs and national security. Top executives coming in at 9:00 A.M. to talk manufacturing in America.,-0.00692,-0.002602,-0.004318,DOWN,0.052976,0.012481,0.040495,UP,0.055115,0.009835,0.04528,UP
823495059010109440,2017-01-23T11:38:16.523000+00:00,twitter,XLI,CAT,0,0,1.0,0,0,11,1,0.0137,0.012851,0.019182,0.014627,0.025428,0.010862,0.008014,0,0,0,1,0,0,0,0,0,0,Busy week planned with a heavy focus on jobs and national security. Top executives coming in at 9:00 A.M. to talk manufacturing in America.,-0.00148,-0.002602,0.001122,NEUTRAL,0.037526,0.012481,0.025045,UP,0.046406,0.009835,0.03657,UP
823495059010109440,2017-01-23T11:38:16.523000+00:00,twitter,XLI,GE,0,0,1.0,0,0,11,1,-0.028324,-0.021788,-0.023665,-0.027397,-0.031408,-0.046209,0.005223,0,0,0,1,0,0,0,0,0,0,Busy week planned with a heavy focus on jobs and national security. Top executives coming in at 9:00 A.M. to talk manufacturing in America.,-0.02459,-0.002602,-0.021988,DOWN,-0.004262,0.012481,-0.016743,DOWN,-0.016066,0.009835,-0.025901,DOWN
823495059010109440,2017-01-23T11:38:16.523000+00:00,twitter,XLI,RTX,0,0,1.0,0,0,11,1,-0.001198,0.000541,0.007456,-0.000271,-0.005029,0.001265,0.005291,0,0,0,1,0,0,0,0,0,0,Busy week planned with a heavy focus on jobs and national security. Top executives coming in at 9:00 A.M. to talk manufacturing in America.,-0.00451,-0.002602,-0.001908,NEUTRAL,0.001083,0.012481,-0.011399,DOWN,-0.010285,0.009835,-0.02012,DOWN
823495059010109440,2017-01-23T11:38:16.523000+00:00,twitter,XLI,UNP,0,0,1.0,0,0,11,1,0.036323,0.022214,0.050596,0.03725,0.063351,0.037746,0.010352,0,0,0,1,0,0,0,0,0,0,Busy week planned with a heavy focus on jobs and national security. Top executives coming in at 9:00 A.M. to talk manufacturing in America.,-0.005983,-0.002602,-0.003381,NEUTRAL,0.016384,0.012481,0.003903,NEUTRAL,0.005155,0.009835,-0.00468,NEUTRAL
823850781946343427,2017-01-24T11:11:47.480000+00:00,twitter,XLY,XLY,1,0,1.0,0,1,11,1,0.00432,0.000712,0.000474,0.000356,0.00804,0.005507,0.005236,0,0,0,0,0,0,1,0,0,0,Will be meeting at 9:00 with top automobile executives concerning jobs in America. I want new plants to be built here for cars sold here!,0.006657,0.0053,0.001356,NEUTRAL,0.014385,0.012942,0.001443,NEUTRAL,0.009985,0.005079,0.004906,NEUTRAL
823850781946343427,2017-01-24T11:11:47.480000+00:00,twitter,XLY,AMZN,0,0,1.0,0,1,11,1,0.00487,0.011814,0.01288,0.000906,0.0275,0.061355,0.011355,0,0,0,0,0,0,1,0,0,0,Will be meeting at 9:00 with top automobile executives concerning jobs in America. I want new plants to be built here for cars sold here!,0.000535,0.0053,-0.004765,NEUTRAL,0.020864,0.012942,0.007922,NEUTRAL,0.010195,0.005079,0.005115,NEUTRAL
823850781946343427,2017-01-24T11:11:47.480000+00:00,twitter,XLY,TSLA,0,0,1.0,0,1,11,1,0.050948,0.017125,0.044303,0.046984,0.086944,0.198459,0.016069,0,0,0,0,0,0,1,0,0,0,Will be meeting at 9:00 with top automobile executives concerning jobs in America. I want new plants to be built here for cars sold here!,0.018438,0.0053,0.013138,UP,0.010038,0.012942,-0.002904,NEUTRAL,0.00252,0.005079,-0.002559,NEUTRAL
823850781946343427,2017-01-24T11:11:47.480000+00:00,twitter,XLY,HD,0,0,1.0,0,1,11,1,0.026402,0.018216,0.014027,0.022437,0.034,0.009062,0.007254,0,0,0,0,0,0,1,0,0,0,Will be meeting at 9:00 with top automobile executives concerning jobs in America. I want new plants to be built here for cars sold here!,0.001306,0.0053,-0.003994,DOWN,0.004207,0.012942,-0.008735,DOWN,0.004279,0.005079,-0.0008,NEUTRAL
