post_id,tweet_date,entity,entity_name,match_tier,stance,stance_source,indices_used,sectors_used,peers_used,used_fallback,pre_vol,pre_ret_1,pre_ret_3,weekday,after_hours,text,raw_eod,abn_idx_eod,abn_sec_eod,abn_peer_eod,band_eod,label_eod,raw_2d,abn_idx_2d,abn_sec_2d,abn_peer_2d,band_2d,label_2d,raw_3d,abn_idx_3d,abn_sec_3d,abn_peer_3d,band_3d,label_3d,raw_1w,abn_idx_1w,abn_sec_1w,abn_peer_1w,band_1w,label_1w,raw_2w,abn_idx_2w,abn_sec_2w,abn_peer_2w,band_2w,label_2w,raw_3w,abn_idx_3w,abn_sec_3w,abn_peer_3w,band_3w,label_3w,raw_1mo,abn_idx_1mo,abn_sec_1mo,abn_peer_1mo,band_1mo,label_1mo,abn_sec_30m,label_30m,abn_sec_1h,label_1h
113781393195053401,2025-01-06,TSLA,Tesla,direct,neutral,cache,SPY QQQ,XLY,AMZN HD MCD NKE,0,0.0467,0.0822,-0.0167,0,1,"“Had this election not been won by Donald Trump, civilization would be lost.” Elon Musk",-0.0287,-0.0284,-0.0219,-0.0254,0.0233,NEUTRAL,-0.0681,-0.0533,-0.0421,-0.0498,0.033,NEUTRAL,-0.0668,-0.0527,-0.0435,-0.0456,0.0404,NEUTRAL,-0.047,-0.0169,-0.0196,-0.0192,0.0522,NEUTRAL,0.0021,-0.0044,-0.0092,-0.0027,0.0738,NEUTRAL,-0.0593,-0.0641,-0.0737,-0.0887,0.0904,NEUTRAL,-0.1064,-0.1158,-0.1101,-0.1327,0.107,NEUTRAL,0.0,NEUTRAL,0.0043,NEUTRAL
113781828670659948,2025-01-06,AMZN,Amazon,indirect,negative,cache,SPY QQQ DIA,XLY,TSLA HD MCD NKE,0,0.0169,0.018,0.0131,0,0,"The story in the Washington Post, quoting so-called anonymous sources, which don't exist, incorrectly states that my tariff policy will be pared back. That is wrong. The Washington Post knows it's wro",0.0037,0.0052,0.0104,0.0174,0.0084,NEUTRAL,-0.0206,-0.008,0.0054,-0.0013,0.0119,NEUTRAL,-0.0205,-0.009,0.0028,0.0071,0.0146,NEUTRAL,-0.0367,-0.012,-0.0093,-0.0089,0.0189,NEUTRAL,0.0173,0.0042,0.006,0.0202,0.0267,NEUTRAL,0.0501,0.0316,0.0358,0.0494,0.0327,NEUTRAL,0.0414,0.0196,0.0377,0.0434,0.0386,NEUTRAL,0.0,NEUTRAL,0.0078,NEUTRAL
113826686962325672,2025-01-14,DJT,Trump Media & Technology Group,direct,neutral,cache,SPY,,,1,0.0556,0.2152,0.2183,1,1,"RELEASE THE WATER, NEWSOM. WHAT IS WRONG WITH YOU? DJT",0.0004,0.0041,,,0.0278,NEUTRAL,0.038,0.0236,,,0.0393,NEUTRAL,0.0423,0.0299,,,0.0482,NEUTRAL,-0.0952,-0.1272,,,0.0622,NEUTRAL,-0.2363,-0.2708,,,0.088,NEUTRAL,-0.2216,-0.2514,,,0.1078,NEUTRAL,-0.2264,-0.2589,,,0.1275,NEUTRAL,,NEUTRAL,,NEUTRAL
113847449027767807,2025-01-18,DJT,Trump Media & Technology Group,direct,neutral,cache,SPY,,,1,0.0589,-0.0237,0.0173,5,1,"Coming up, THE MOST IMPORTANT WEEKEND, PLUS, IN AMERICAN HISTORY. ENJOY!  DJT",-0.0532,-0.0572,,,0.0295,NEUTRAL,-0.1059,-0.1155,,,0.0417,NEUTRAL,-0.1075,-0.1226,,,0.051,NEUTRAL,-0.2143,-0.2121,,,0.0659,NEUTRAL,-0.1801,-0.1753,,,0.0932,NEUTRAL,-0.1697,-0.1767,,,0.1141,NEUTRAL,-0.2485,-0.2689,,,0.135,NEUTRAL,,NEUTRAL,,NEUTRAL
113898263726281638,2025-01-27,DJT,Trump Media & Technology Group,direct,neutral,cache,SPY,,,1,0.0633,-0.025,-0.0809,0,1,THE USA HAS A LOT OF WINNING TO DO! DJT,-0.0594,-0.0671,,,0.0316,NEUTRAL,-0.0433,-0.0596,,,0.0448,NEUTRAL,0.0213,0.0096,,,0.0548,NEUTRAL,0.0146,0.0029,,,0.0708,NEUTRAL,-0.0067,-0.0167,,,0.1001,NEUTRAL,-0.0322,-0.0572,,,0.1226,NEUTRAL,-0.2417,-0.2408,,,0.145,NEUTRAL,,NEUTRAL,,NEUTRAL
113903630433895227,2025-01-28,MCD,McDonald's,direct,positive,cache,SPY DIA,XLY,AMZN TSLA HD NKE,0,0.0098,0.0267,0.0417,1,1,"Wow! In Nevada, a State I love and WON BIG in 2024, Republicans now lead Democrats in Voter Registration for the first time since 2007. Thank you to Chairman Michael McDonald, Governor Joe Lombardo, a",-0.0043,-0.0089,-0.0084,-0.0006,0.0049,NEUTRAL,-0.0078,-0.0088,-0.0091,-0.0039,0.007,NEUTRAL,-0.0071,-0.0126,-0.0182,-0.0121,0.0085,NEUTRAL,-0.008,-0.0024,-0.0013,0.0019,0.011,NEUTRAL,0.0548,0.054,0.0734,0.0949,0.0156,UP,0.0425,0.0349,0.0611,0.0824,0.0191,UP,0.0406,0.0593,0.1061,0.1219,0.0225,UP,0.0,NEUTRAL,-0.0018,NEUTRAL
113909188940119917,2025-01-29,TSLA,Tesla,direct,neutral,cache,SPY QQQ,XLY,AMZN HD MCD NKE,0,0.0364,0.0024,-0.0347,2,1,I have just asked Elon Musk and @SpaceX to “go get” the 2 brave astronauts who have been virtually abandoned in space by the Biden Administration. They have been waiting for many months on @Space Stat,-0.0155,-0.0123,-0.0118,-0.0092,0.0182,NEUTRAL,0.0128,0.0112,0.0067,0.0215,0.0258,NEUTRAL,0.0238,0.0255,0.0221,0.0312,0.0316,NEUTRAL,-0.0076,-0.0079,-0.0076,-0.0112,0.0407,NEUTRAL,-0.1688,-0.1754,-0.1342,-0.1511,0.0576,NEUTRAL,-0.0877,-0.1116,-0.0637,-0.0774,0.0706,NEUTRAL,-0.2866,-0.2499,-0.2031,-0.2828,0.0835,NEUTRAL,-0.0513,NEUTRAL,-0.0156,NEUTRAL
113928759847321475,2025-02-01,DJT,Trump Media & Technology Group,direct,negative,cache,SPY,,,1,0.0669,0.0082,0.0606,5,1,"Ellie Cohanim on Israel, and Phill Flynn on Tariffs, were GREAT on Fox & Friends this morning. Real “Pros!” DJT",0.0266,0.018,,,0.0335,NA,0.02,0.0046,,,0.0473,NA,0.011,-0.0085,,,0.058,NA,0.039,0.0253,,,0.0749,NA,0.0123,-0.0164,,,0.1059,NA,-0.1429,-0.1506,,,0.1296,NA,-0.2582,-0.2315,,,0.1534,NA,,NA,,NA
113946130240319294,2025-02-04,DJT,Trump Media & Technology Group,direct,neutral,cache,SPY,,,1,0.0673,-0.0326,-0.039,1,0,"20 years ago, Autism in children was 1 in 10,000. NOW IT’S 1 in 34. WOW! Something’s really wrong. We need BOBBY!!!  Thank You! DJT",0.006,0.0,,,0.0336,NEUTRAL,0.0733,0.0638,,,0.0475,NEUTRAL,0.0338,0.0336,,,0.0581,NEUTRAL,0.0056,-0.0021,,,0.0751,NEUTRAL,-0.0636,-0.0841,,,0.1062,NEUTRAL,-0.1873,-0.1771,,,0.13,NEUTRAL,-0.2715,-0.225,,,0.1538,NEUTRAL,,NEUTRAL,,NEUTRAL
113962698098343227,2025-02-07,DJT,Trump Media & Technology Group,direct,neutral,cache,SPY,,,1,0.0679,0.0669,0.0506,4,1,BALANCED BUDGET!!! DJT,-0.0344,-0.0243,,,0.034,NEUTRAL,-0.0337,-0.0304,,,0.048,NEUTRAL,-0.0607,-0.0581,,,0.0588,NEUTRAL,-0.0505,-0.0551,,,0.0759,NEUTRAL,-0.1644,-0.1529,,,0.1074,NEUTRAL,-0.2539,-0.2329,,,0.1315,NEUTRAL,-0.3833,-0.307,,,0.1556,NEUTRAL,,NEUTRAL,,NEUTRAL
113963121926787410,2025-02-07,AMZN,Amazon,indirect,neutral,cache,SPY QQQ DIA,XLY,TSLA HD MCD NKE,0,0.0135,0.0113,0.0059,4,0,"Eugene Robinson of the Washington Post is INCOMPETENT! So sad to see him trying to justify the waste, fraud, and corruption at USAID with his pathetic Radical Left SPIN. He should be fired immediately",0.0112,0.0103,0.0118,-0.003,0.0083,NEUTRAL,0.0096,0.0082,0.0215,-0.0105,0.0117,NEUTRAL,-0.007,-0.0057,0.0051,-0.0116,0.0144,NEUTRAL,-0.0081,-0.0181,-0.0104,-0.018,0.0186,NEUTRAL,-0.0774,-0.061,-0.038,-0.0518,0.0263,NEUTRAL,-0.1107,-0.0707,-0.0467,-0.0915,0.0322,NEUTRAL,-0.1473,-0.0628,-0.0144,-0.1059,0.0381,NEUTRAL,-0.0084,NEUTRAL,-0.0289,NEUTRAL
114020008419550279,2025-02-17,AMZN,Amazon,direct,neutral,cache,SPY QQQ DIA,XLY,TSLA HD MCD NKE,0,0.016,-0.0073,-0.0175,0,0,"Who is running the Country right now? In his new book, “American Leviathan: The Birth of the Administrative State and Progressive Authoritarianism,” Ned Ryun reveals the History of the Deep State, whi",-0.0095,-0.0101,-0.007,-0.0041,0.008,NEUTRAL,-0.0096,-0.0116,-0.0065,-0.0086,0.0113,NEUTRAL,-0.026,-0.022,-0.0143,-0.0181,0.0139,NEUTRAL,-0.0704,-0.0431,-0.0291,-0.0391,0.0179,NEUTRAL,-0.104,-0.0535,-0.0381,-0.0791,0.0254,NEUTRAL,-0.1498,-0.0621,-0.0237,-0.1239,0.0311,NEUTRAL,-0.1573,-0.0688,-0.01,-0.0826,0.0368,NEUTRAL,-0.0044,NEUTRAL,-0.01,NEUTRAL
