post_id,timestamp_utc,date_utc,hour_utc,platform,source,reasons,themes,n_assets_linked,n_event_rows,text
113755116467958801,2025-01-01T21:02:06.966000+00:00,2025-01-01,21,truth_social,cnn_truth_archive,sector_keywords|entity_mention|theme:tariffs_trade,tariffs_trade,19,20,"The Tariffs, and Tariffs alone, created this vast wealth for our Country. Then we switched over to Income Tax. We were never so wealthy as during this period. Tariffs will pay off our debt and, MAKE AMERICA WEALTHY AGAIN!"
113762718646858742,2025-01-03T05:15:27.009000+00:00,2025-01-03,5,truth_social,cnn_truth_archive,theme:semis_tech_supplychain,semis_tech_supplychain,9,10,Why would I want to get rid of TikTok?
113765824090252651,2025-01-03T18:25:12.320000+00:00,2025-01-03,18,truth_social,cnn_truth_archive,sector_keywords|entity_mention,,6,7,"Biden gave Liz Cheney a Medal yesterday, even though she has proven to be totally corrupt. She, “Bennie” Thompson, and the rest of the Unselect Committee, destroyed and deleted all evidence from their crooked investigation of January 6th. Cheney has the distinction of losing her "
113766496962657828,2025-01-03T21:16:19.532000+00:00,2025-01-03,21,truth_social,cnn_truth_archive,sector_keywords|entity_mention|theme:oil_energy_geopolitics,oil_energy_geopolitics,12,13,"I am pleased to announce Morgan Ortagus as Deputy Special Presidential Envoy for Middle East Peace, to the Honorable Steven Witkoff. Early on Morgan fought me for three years, but hopefully has learned her lesson. These things usually don’t work out, but she has strong Republican"
113767012988447810,2025-01-03T23:27:33.461000+00:00,2025-01-03,23,truth_social,cnn_truth_archive,sector_keywords|entity_mention,,6,7,"I am pleased to announce the nomination of Roman Pipko to serve as the next United States Ambassador to the Republic of Estonia.  Roman was born and raised in Estonia. He has extensive experience in dealing with Foreign Governments, having represented U.S. interests in the Europe"
113767548146140020,2025-01-04T01:43:39.319000+00:00,2025-01-04,1,truth_social,cnn_truth_archive,theme:manufacturing_reshoring,manufacturing_reshoring,7,8,"…Merchan took the Bragg Hoax that, according to all Legal Scholars, should have been dead on arrival and, through his fraud and misconduct, gave it a semblance of “life.” While Deranged Jack Smith was “sent packing” back to The Hague, after losing all of his politically manufactu"
113778957475969583,2025-01-06T02:05:11.876000+00:00,2025-01-06,2,truth_social,cnn_truth_archive,sector_keywords|theme:tariffs_trade|theme:taxes,tariffs_trade/taxes,25,26,"Members of Congress are getting to work on one powerful Bill that will bring our Country back, and make it greater than ever before. We must Secure our Border, Unleash American Energy, and Renew the Trump Tax Cuts, which were the largest in History, but we will make it even bette"
113781393195053401,2025-01-06T12:24:38.004000+00:00,2025-01-06,12,truth_social,cnn_truth_archive,entity_mention,,1,2,"“Had this election not been won by Donald Trump, civilization would be lost.” Elon Musk"
113781647532063909,2025-01-06T13:29:18.879000+00:00,2025-01-06,13,truth_social,cnn_truth_archive,sector_keywords|theme:tariffs_trade,tariffs_trade,19,20,"Why would they want to sell U.S. Steel now when Tariffs will make it a much more profitable and valuable company? Wouldn’t it be nice to have U.S. Steel, once the greatest company in the World, lead the charge toward greatness again? It can all happen very quickly!"
113781828670659948,2025-01-06T14:15:22.832000+00:00,2025-01-06,14,truth_social,cnn_truth_archive,sector_keywords|entity_mention|theme:tariffs_trade,tariffs_trade,19,20,"The story in the Washington Post, quoting so-called anonymous sources, which don't exist, incorrectly states that my tariff policy will be pared back. That is wrong. The Washington Post knows it's wrong. It's just another example of Fake News."
113782682597333035,2025-01-06T17:52:32.723000+00:00,2025-01-06,17,truth_social,cnn_truth_archive,sector_keywords|entity_mention|theme:tariffs_trade|theme:china,tariffs_trade/china,19,20,"Many people in Canada LOVE being the 51st State. The United States can no longer suffer the massive Trade Deficits and Subsidies that Canada needs to stay afloat. Justin Trudeau knew this, and resigned. If Canada merged with the U.S., there would be no Tariffs, taxes would go way"
113788624491419802,2025-01-07T19:03:38.826000+00:00,2025-01-07,19,truth_social,cnn_truth_archive,sector_keywords|entity_mention|theme:tariffs_trade,tariffs_trade,19,20,“The Case for Trump’s Tariffs” https://www.wsj.com/opinion/the-case-for-trumps-tariffs-trade-economy-policy-election-8c196364
113801030153083772,2025-01-09T23:38:00+00:00,2025-01-09,23,truth_social,truth_social_dataset,sector_keywords|entity_mention|theme:fed_rates,fed_rates,6,7,"I am pleased to announce that Christine Jack Toretti will serve as the next United States Ambassador to Sweden.
Christine is an incredible businesswoman, philanthropist, public servant, and RNC Committeewoman for the Great Commonwealth of Pennsylvania. She is Chairman of S&T Banc"
113801194574051815,2025-01-10T00:20:23.065000+00:00,2025-01-10,0,truth_social,cnn_truth_archive,sector_keywords|entity_mention|theme:defense_geopolitics,defense_geopolitics,6,7,"I am pleased to announce that Sam Brown of Nevada will serve as the next Under Secretary for Memorial Affairs at the Department of Veterans Affairs.  Sam is an American HERO, a Purple Heart recipient, and successful businessman from Nevada, who has devoted his life to serving Ame"
113806697640626691,2025-01-10T23:39:53.199000+00:00,2025-01-10,23,truth_social,cnn_truth_archive,sector_keywords|entity_mention|theme:jobs_economy,jobs_economy,6,7,"I am pleased to announce that Ed Russo, an Environmental Expert, will lead our Environmental Advisory Task Force, which will advise my Administration on initiatives to create great jobs and protect our natural resources, by following my policy of CLEAN AIR and CLEAN WATER. Togeth"
113806736829454392,2025-01-10T23:49:51.173000+00:00,2025-01-10,23,truth_social,cnn_truth_archive,theme:jobs_economy,jobs_economy,0,1,I am pleased to announce that Bill Briggs will serve as the next Deputy Administrator of the U.S. Small Business Administration. Bill is a successful businessman who served in my First Term as the Acting Associate Administrator in the Office of Capital Access at SBA. During his t
113811527858687071,2025-01-11T20:08:16.477000+00:00,2025-01-11,20,truth_social,cnn_truth_archive,sector_keywords|entity_mention,,6,7,"I am pleased to announce that Steven Gill Bradbury will be the next United States Deputy Secretary of Transportation. For the entirety of my First Term, Steven served as the General Counsel of the Department of Transportation, where he helped rebuild our crumbling Infrastructure,"
113811530017352088,2025-01-11T20:08:49.416000+00:00,2025-01-11,20,truth_social,cnn_truth_archive,sector_keywords|entity_mention,,6,7,"I am pleased to announce that Katharine MacGregor will serve as the next United States Deputy Secretary of the Interior. Katharine is currently Vice President of Environmental Services at NextEra Energy, Inc., and previously worked at the Department of the Interior during my firs"
